Frame	Time	lat			lat_f	lon			lon_f	Alt_m	Alt_m	Alt_ft	Sat	Bat		Tb		Pressure		Ti		Hi	%	To		Ho	%																																																																																																																																																																																																																																				
3043	073617h	50197685N	0	0	0	19801787E	0	0	0	3022m	3022	9914ft	14	2868	mV	16.92	C	71294	Pa	16.8	C	29.31	%	11.8	C	11.91	%																																																																	11.8	C	Ho		11.91	C	3043	073617h	50197685N	19801787E	3022m	9914ft	Sat		14	Bat		2868	mV	Tb		16.92	C	71294	Pa	Ti		16.8	C	Hi		29.31	C	To		11.8	C	Ho		11.91	C	3043	073617h	50197685N	19801787E	3022m	9914ft	Sat		14	Bat		2868	mV	Tb		16.92	C	71294	Pa	Ti		16.8	C	Hi		29.31	C	To		11.8	C	Ho		11.91	C	3043	073617h	50197685N	19801787E	3022m	9914ft	Sat		14	Bat		2868	mV	Tb		16.92	C	71294	Pa	Ti		16.8	C	Hi		29.31	C	To		11.8	C	Ho		11.91	C	3043	073617h	50197685N	19801787E	3022m	9914ft	Sat		14	Bat		2868	mV	Tb		16.92	C	71294	Pa	Ti		16.8	C	Hi		29.31	C	To		11.8	C	Ho		11.91	C	3043	073617h	50197685N	19801787E	3022m	9914ft	Sat		14	Bat		2868	mV	Tb		16.92	C	71294
3044	073618h	50197711N	0	0	0	19801797E	0	0	0	3028m	3028	9935ft	14	2851	mV	16.9	C	71233	Pa	16.7	C	29.36	%	11.15	C	11.97	%																																																																	11.15	C	Ho		11.97	C	3044	073618h	50197711N	19801797E	3028m	9935ft	Sat		14	Bat		2851	mV	Tb		16.9	C	71233	Pa	Ti		16.7	C	Hi		29.36	C	To		11.15	C	Ho		11.97	C	3044	073618h	50197711N	19801797E	3028m	9935ft	Sat		14	Bat		2851	mV	Tb		16.9	C	71233	Pa	Ti		16.7	C	Hi		29.36	C	To		11.15	C	Ho		11.97	C	3044	073618h	50197711N	19801797E	3028m	9935ft	Sat		14	Bat		2851	mV	Tb		16.9	C	71233	Pa	Ti		16.7	C	Hi		29.36	C	To		11.15	C	Ho		11.97	C	3044	073618h	50197711N	19801797E	3028m	9935ft	Sat		14	Bat		2851	mV	Tb		16.9	C	71233	Pa	Ti		16.7	C	Hi		29.36	C	To		11.15	C	Ho		11.97	C	3044	073618h	50197711N	19801797E	3028m	9935ft	Sat		14	Bat		2851	mV	Tb		16.9	C	71233
3045	073619h	50197741N	0	0	0	19801820E	0	0	0	3036m	3036	9962ft	14	2862	mV	16.92	C	71195	Pa	16.7	C	29.39	%	11.16	C	12.12	%																																																																	11.16	C	Ho		12.12	C	3045	073619h	50197741N	19801820E	3036m	9962ft	Sat		14	Bat		2862	mV	Tb		16.92	C	71195	Pa	Ti		16.7	C	Hi		29.39	C	To		11.16	C	Ho		12.12	C	3045	073619h	50197741N	19801820E	3036m	9962ft	Sat		14	Bat		2862	mV	Tb		16.92	C	71195	Pa	Ti		16.7	C	Hi		29.39	C	To		11.16	C	Ho		12.12	C	3045	073619h	50197741N	19801820E	3036m	9962ft	Sat		14	Bat		2862	mV	Tb		16.92	C	71195	Pa	Ti		16.7	C	Hi		29.39	C	To		11.16	C	Ho		12.12	C	3045	073619h	50197741N	19801820E	3036m	9962ft	Sat		14	Bat		2862	mV	Tb		16.92	C	71195	Pa	Ti		16.7	C	Hi		29.39	C	To		11.16	C	Ho		12.12	C	3045	073619h	50197741N	19801820E	3036m	9962ft	Sat		14	Bat		2862	mV	Tb		16.92	C	71195
3046	073620h	50197783N	0	0	0	19801783E	0	0	0	3043m	3043	9985ft	14	2851	mV	16.88	C	71121	Pa	16.4	C	29.46	%	10.97	C	12.24	%																																																																	10.97	C	Ho		12.24	C	3046	073620h	50197783N	19801783E	3043m	9985ft	Sat		14	Bat		2851	mV	Tb		16.88	C	71121	Pa	Ti		16.4	C	Hi		29.46	C	To		10.97	C	Ho		12.24	C	3046	073620h	50197783N	19801783E	3043m	9985ft	Sat		14	Bat		2851	mV	Tb		16.88	C	71121	Pa	Ti		16.4	C	Hi		29.46	C	To		10.97	C	Ho		12.24	C	3046	073620h	50197783N	19801783E	3043m	9985ft	Sat		14	Bat		2851	mV	Tb		16.88	C	71121	Pa	Ti		16.4	C	Hi		29.46	C	To		10.97	C	Ho		12.24	C	3046	073620h	50197783N	19801783E	3043m	9985ft	Sat		14	Bat		2851	mV	Tb		16.88	C	71121	Pa	Ti		16.4	C	Hi		29.46	C	To		10.97	C	Ho		12.24	C	3046	073620h	50197783N	19801783E	3043m	9985ft	Sat		14	Bat		2851	mV	Tb		16.88	C	71121
3047	073621h	50197822N	0	0	0	19801702E	0	0	0	3049m	3049	10005ft	14	2853	mV	16.87	C	71095	Pa	16.3	C	29.43	%	11.2	C	12.34	%																																																																	11.2	C	Ho		12.34	C	3047	073621h	50197822N	19801702E	3049m	10005ft	Sat		14	Bat		2853	mV	Tb		16.87	C	71095	Pa	Ti		16.3	C	Hi		29.43	C	To		11.2	C	Ho		12.34	C	3047	073621h	50197822N	19801702E	3049m	10005ft	Sat		14	Bat		2853	mV	Tb		16.87	C	71095	Pa	Ti		16.3	C	Hi		29.43	C	To		11.2	C	Ho		12.34	C	3047	073621h	50197822N	19801702E	3049m	10005ft	Sat		14	Bat		2853	mV	Tb		16.87	C	71095	Pa	Ti		16.3	C	Hi		29.43	C	To		11.2	C	Ho		12.34	C	3047	073621h	50197822N	19801702E	3049m	10005ft	Sat		14	Bat		2853	mV	Tb		16.87	C	71095	Pa	Ti		16.3	C	Hi		29.43	C	To		11.2	C	Ho		12.34	C	3047	073621h	50197822N	19801702E	3049m	10005ft	Sat		14	Bat		2853	mV	Tb		16.87	C	71095
3048	073622h	50197849N	0	0	0	19801609E	0	0	0	3055m	3055	10025ft	14	2868	mV	16.88	C	71039	Pa	16.4	C	29.49	%	10.91	C	12.53	%																																																																	10.91	C	Ho		12.53	C	3048	073622h	50197849N	19801609E	3055m	10025ft	Sat		14	Bat		2868	mV	Tb		16.88	C	71039	Pa	Ti		16.4	C	Hi		29.49	C	To		10.91	C	Ho		12.53	C	3048	073622h	50197849N	19801609E	3055m	10025ft	Sat		14	Bat		2868	mV	Tb		16.88	C	71039	Pa	Ti		16.4	C	Hi		29.49	C	To		10.91	C	Ho		12.53	C	3048	073622h	50197849N	19801609E	3055m	10025ft	Sat		14	Bat		2868	mV	Tb		16.88	C	71039	Pa	Ti		16.4	C	Hi		29.49	C	To		10.91	C	Ho		12.53	C	3048	073622h	50197849N	19801609E	3055m	10025ft	Sat		14	Bat		2868	mV	Tb		16.88	C	71039	Pa	Ti		16.4	C	Hi		29.49	C	To		10.91	C	Ho		12.53	C	3048	073622h	50197849N	19801609E	3055m	10025ft	Sat		14	Bat		2868	mV	Tb		16.88	C	71039
3049	073623h	50197848N	0	0	0	19801534E	0	0	0	3062m	3062	10046ft	14	2851	mV	16.87	C	70976	Pa	16.3	C	29.48	%	10.90	C	12.64	%																																																																	10.90	C	Ho		12.64	C	3049	073623h	50197848N	19801534E	3062m	10046ft	Sat		14	Bat		2851	mV	Tb		16.87	C	70976	Pa	Ti		16.3	C	Hi		29.48	C	To		10.90	C	Ho		12.64	C	3049	073623h	50197848N	19801534E	3062m	10046ft	Sat		14	Bat		2851	mV	Tb		16.87	C	70976	Pa	Ti		16.3	C	Hi		29.48	C	To		10.90	C	Ho		12.64	C	3049	073623h	50197848N	19801534E	3062m	10046ft	Sat		14	Bat		2851	mV	Tb		16.87	C	70976	Pa	Ti		16.3	C	Hi		29.48	C	To		10.90	C	Ho		12.64	C	3049	073623h	50197848N	19801534E	3062m	10046ft	Sat		14	Bat		2851	mV	Tb		16.87	C	70976	Pa	Ti		16.3	C	Hi		29.48	C	To		10.90	C	Ho		12.64	C	3049	073623h	50197848N	19801534E	3062m	10046ft	Sat		14	Bat		2851	mV	Tb		16.87	C	70976
3050	073624h	50197835N	0	0	0	19801499E	0	0	0	3068m	3068	10067ft	14	2857	mV	16.87	C	70922	Pa	16.3	C	29.46	%	10.77	C	12.71	%																																																																	10.77	C	Ho		12.71	C	3050	073624h	50197835N	19801499E	3068m	10067ft	Sat		14	Bat		2857	mV	Tb		16.87	C	70922	Pa	Ti		16.3	C	Hi		29.46	C	To		10.77	C	Ho		12.71	C	3050	073624h	50197835N	19801499E	3068m	10067ft	Sat		14	Bat		2857	mV	Tb		16.87	C	70922	Pa	Ti		16.3	C	Hi		29.46	C	To		10.77	C	Ho		12.71	C	3050	073624h	50197835N	19801499E	3068m	10067ft	Sat		14	Bat		2857	mV	Tb		16.87	C	70922	Pa	Ti		16.3	C	Hi		29.46	C	To		10.77	C	Ho		12.71	C	3050	073624h	50197835N	19801499E	3068m	10067ft	Sat		14	Bat		2857	mV	Tb		16.87	C	70922	Pa	Ti		16.3	C	Hi		29.46	C	To		10.77	C	Ho		12.71	C	3050	073624h	50197835N	19801499E	3068m	10067ft	Sat		14	Bat		2857	mV	Tb		16.87	C	70922
3051	073625h	50197839N	0	0	0	19801484E	0	0	0	3074m	3074	10087ft	14	2853	mV	16.87	C	70870	Pa	16.1	C	29.43	%	10.95	C	12.85	%																																																																	10.95	C	Ho		12.85	C	3051	073625h	50197839N	19801484E	3074m	10087ft	Sat		14	Bat		2853	mV	Tb		16.87	C	70870	Pa	Ti		16.1	C	Hi		29.43	C	To		10.95	C	Ho		12.85	C	3051	073625h	50197839N	19801484E	3074m	10087ft	Sat		14	Bat		2853	mV	Tb		16.87	C	70870	Pa	Ti		16.1	C	Hi		29.43	C	To		10.95	C	Ho		12.85	C	3051	073625h	50197839N	19801484E	3074m	10087ft	Sat		14	Bat		2853	mV	Tb		16.87	C	70870	Pa	Ti		16.1	C	Hi		29.43	C	To		10.95	C	Ho		12.85	C	3051	073625h	50197839N	19801484E	3074m	10087ft	Sat		14	Bat		2853	mV	Tb		16.87	C	70870	Pa	Ti		16.1	C	Hi		29.43	C	To		10.95	C	Ho		12.85	C	3051	073625h	50197839N	19801484E	3074m	10087ft	Sat		14	Bat		2853	mV	Tb		16.87	C	70870
3052	073626h	50197857N	0	0	0	19801478E	0	0	0	3081m	3081	10109ft	14	2865	mV	16.86	C	70800	Pa	16.3	C	29.45	%	11.11	C	12.94	%																																																																	11.11	C	Ho		12.94	C	3052	073626h	50197857N	19801478E	3081m	10109ft	Sat		14	Bat		2865	mV	Tb		16.86	C	70800	Pa	Ti		16.3	C	Hi		29.45	C	To		11.11	C	Ho		12.94	C	3052	073626h	50197857N	19801478E	3081m	10109ft	Sat		14	Bat		2865	mV	Tb		16.86	C	70800	Pa	Ti		16.3	C	Hi		29.45	C	To		11.11	C	Ho		12.94	C	3052	073626h	50197857N	19801478E	3081m	10109ft	Sat		14	Bat		2865	mV	Tb		16.86	C	70800	Pa	Ti		16.3	C	Hi		29.45	C	To		11.11	C	Ho		12.94	C	3052	073626h	50197857N	19801478E	3081m	10109ft	Sat		14	Bat		2865	mV	Tb		16.86	C	70800	Pa	Ti		16.3	C	Hi		29.45	C	To		11.11	C	Ho		12.94	C	3052	073626h	50197857N	19801478E	3081m	10109ft	Sat		14	Bat		2865	mV	Tb		16.86	C	70800
3053	073627h	50197878N	0	0	0	19801446E	0	0	0	3086m	3086	10127ft	14	2868	mV	16.86	C	70757	Pa	16.1	C	29.49	%	10.84	C	13.5	%																																																																	10.84	C	Ho		13.5	C	3053	073627h	50197878N	19801446E	3086m	10127ft	Sat		14	Bat		2868	mV	Tb		16.86	C	70757	Pa	Ti		16.1	C	Hi		29.49	C	To		10.84	C	Ho		13.5	C	3053	073627h	50197878N	19801446E	3086m	10127ft	Sat		14	Bat		2868	mV	Tb		16.86	C	70757	Pa	Ti		16.1	C	Hi		29.49	C	To		10.84	C	Ho		13.5	C	3053	073627h	50197878N	19801446E	3086m	10127ft	Sat		14	Bat		2868	mV	Tb		16.86	C	70757	Pa	Ti		16.1	C	Hi		29.49	C	To		10.84	C	Ho		13.5	C	3053	073627h	50197878N	19801446E	3086m	10127ft	Sat		14	Bat		2868	mV	Tb		16.86	C	70757	Pa	Ti		16.1	C	Hi		29.49	C	To		10.84	C	Ho		13.5	C	3053	073627h	50197878N	19801446E	3086m	10127ft	Sat		14	Bat		2868	mV	Tb		16.86	C	70757
3054	073628h	50197893N	0	0	0	19801378E	0	0	0	3092m	3092	10147ft	14	2868	mV	16.84	C	70709	Pa	15.99	C	29.49	%	10.61	C	13.8	%																																																																	10.61	C	Ho		13.8	C	3054	073628h	50197893N	19801378E	3092m	10147ft	Sat		14	Bat		2868	mV	Tb		16.84	C	70709	Pa	Ti		15.99	C	Hi		29.49	C	To		10.61	C	Ho		13.8	C	3054	073628h	50197893N	19801378E	3092m	10147ft	Sat		14	Bat		2868	mV	Tb		16.84	C	70709	Pa	Ti		15.99	C	Hi		29.49	C	To		10.61	C	Ho		13.8	C	3054	073628h	50197893N	19801378E	3092m	10147ft	Sat		14	Bat		2868	mV	Tb		16.84	C	70709	Pa	Ti		15.99	C	Hi		29.49	C	To		10.61	C	Ho		13.8	C	3054	073628h	50197893N	19801378E	3092m	10147ft	Sat		14	Bat		2868	mV	Tb		16.84	C	70709	Pa	Ti		15.99	C	Hi		29.49	C	To		10.61	C	Ho		13.8	C	3054	073628h	50197893N	19801378E	3092m	10147ft	Sat		14	Bat		2868	mV	Tb		16.84	C	70709
3055	073629h	50197887N	0	0	0	19801314E	0	0	0	3099m	3099	10169ft	14	2868	mV	16.84	C	70667	Pa	15.99	C	29.49	%	10.63	C	13.13	%																																																																	10.63	C	Ho		13.13	C	3055	073629h	50197887N	19801314E	3099m	10169ft	Sat		14	Bat		2868	mV	Tb		16.84	C	70667	Pa	Ti		15.99	C	Hi		29.49	C	To		10.63	C	Ho		13.13	C	3055	073629h	50197887N	19801314E	3099m	10169ft	Sat		14	Bat		2868	mV	Tb		16.84	C	70667	Pa	Ti		15.99	C	Hi		29.49	C	To		10.63	C	Ho		13.13	C	3055	073629h	50197887N	19801314E	3099m	10169ft	Sat		14	Bat		2868	mV	Tb		16.84	C	70667	Pa	Ti		15.99	C	Hi		29.49	C	To		10.63	C	Ho		13.13	C	3055	073629h	50197887N	19801314E	3099m	10169ft	Sat		14	Bat		2868	mV	Tb		16.84	C	70667	Pa	Ti		15.99	C	Hi		29.49	C	To		10.63	C	Ho		13.13	C	3055	073629h	50197887N	19801314E	3099m	10169ft	Sat		14	Bat		2868	mV	Tb		16.84	C	70667
3056	073630h	50197873N	0	0	0	19801264E	0	0	0	3106m	3106	10192ft	14	2865	mV	16.82	C	70606	Pa	16.1	C	29.55	%	10.61	C	13.18	%																																																																	10.61	C	Ho		13.18	C	3056	073630h	50197873N	19801264E	3106m	10192ft	Sat		14	Bat		2865	mV	Tb		16.82	C	70606	Pa	Ti		16.1	C	Hi		29.55	C	To		10.61	C	Ho		13.18	C	3056	073630h	50197873N	19801264E	3106m	10192ft	Sat		14	Bat		2865	mV	Tb		16.82	C	70606	Pa	Ti		16.1	C	Hi		29.55	C	To		10.61	C	Ho		13.18	C	3056	073630h	50197873N	19801264E	3106m	10192ft	Sat		14	Bat		2865	mV	Tb		16.82	C	70606	Pa	Ti		16.1	C	Hi		29.55	C	To		10.61	C	Ho		13.18	C	3056	073630h	50197873N	19801264E	3106m	10192ft	Sat		14	Bat		2865	mV	Tb		16.82	C	70606	Pa	Ti		16.1	C	Hi		29.55	C	To		10.61	C	Ho		13.18	C	3056	073630h	50197873N	19801264E	3106m	10192ft	Sat		14	Bat		2865	mV	Tb		16.82	C	70606
3057	073631h	50197881N	0	0	0	19801263E	0	0	0	3112m	3112	10212ft	14	2865	mV	16.82	C	70553	Pa	16.0	C	29.55	%	10.49	C	13.23	%																																																																	10.49	C	Ho		13.23	C	3057	073631h	50197881N	19801263E	3112m	10212ft	Sat		14	Bat		2865	mV	Tb		16.82	C	70553	Pa	Ti		16.0	C	Hi		29.55	C	To		10.49	C	Ho		13.23	C	3057	073631h	50197881N	19801263E	3112m	10212ft	Sat		14	Bat		2865	mV	Tb		16.82	C	70553	Pa	Ti		16.0	C	Hi		29.55	C	To		10.49	C	Ho		13.23	C	3057	073631h	50197881N	19801263E	3112m	10212ft	Sat		14	Bat		2865	mV	Tb		16.82	C	70553	Pa	Ti		16.0	C	Hi		29.55	C	To		10.49	C	Ho		13.23	C	3057	073631h	50197881N	19801263E	3112m	10212ft	Sat		14	Bat		2865	mV	Tb		16.82	C	70553	Pa	Ti		16.0	C	Hi		29.55	C	To		10.49	C	Ho		13.23	C	3057	073631h	50197881N	19801263E	3112m	10212ft	Sat		14	Bat		2865	mV	Tb		16.82	C	70553
3058	073632h	50197901N	0	0	0	19801277E	0	0	0	3119m	3119	10234ft	14	2868	mV	16.8	C	70497	Pa	15.99	C	29.53	%	10.71	C	13.3	%																																																																	10.71	C	Ho		13.3	C	3058	073632h	50197901N	19801277E	3119m	10234ft	Sat		14	Bat		2868	mV	Tb		16.8	C	70497	Pa	Ti		15.99	C	Hi		29.53	C	To		10.71	C	Ho		13.3	C	3058	073632h	50197901N	19801277E	3119m	10234ft	Sat		14	Bat		2868	mV	Tb		16.8	C	70497	Pa	Ti		15.99	C	Hi		29.53	C	To		10.71	C	Ho		13.3	C	3058	073632h	50197901N	19801277E	3119m	10234ft	Sat		14	Bat		2868	mV	Tb		16.8	C	70497	Pa	Ti		15.99	C	Hi		29.53	C	To		10.71	C	Ho		13.3	C	3058	073632h	50197901N	19801277E	3119m	10234ft	Sat		14	Bat		2868	mV	Tb		16.8	C	70497	Pa	Ti		15.99	C	Hi		29.53	C	To		10.71	C	Ho		13.3	C	3058	073632h	50197901N	19801277E	3119m	10234ft	Sat		14	Bat		2868	mV	Tb		16.8	C	70497
3059	073633h	50197926N	0	0	0	19801271E	0	0	0	3125m	3125	10254ft	14	2876	mV	16.82	C	70423	Pa	15.96	C	29.51	%	10.42	C	13.29	%																																																																	10.42	C	Ho		13.29	C	3059	073633h	50197926N	19801271E	3125m	10254ft	Sat		14	Bat		2876	mV	Tb		16.82	C	70423	Pa	Ti		15.96	C	Hi		29.51	C	To		10.42	C	Ho		13.29	C	3059	073633h	50197926N	19801271E	3125m	10254ft	Sat		14	Bat		2876	mV	Tb		16.82	C	70423	Pa	Ti		15.96	C	Hi		29.51	C	To		10.42	C	Ho		13.29	C	3059	073633h	50197926N	19801271E	3125m	10254ft	Sat		14	Bat		2876	mV	Tb		16.82	C	70423	Pa	Ti		15.96	C	Hi		29.51	C	To		10.42	C	Ho		13.29	C	3059	073633h	50197926N	19801271E	3125m	10254ft	Sat		14	Bat		2876	mV	Tb		16.82	C	70423	Pa	Ti		15.96	C	Hi		29.51	C	To		10.42	C	Ho		13.29	C	3059	073633h	50197926N	19801271E	3125m	10254ft	Sat		14	Bat		2876	mV	Tb		16.82	C	70423
3060	073634h	50197939N	0	0	0	19801232E	0	0	0	3131m	3131	10274ft	14	2875	mV	16.8	C	70394	Pa	15.97	C	29.57	%	10.31	C	13.36	%																																																																	10.31	C	Ho		13.36	C	3060	073634h	50197939N	19801232E	3131m	10274ft	Sat		14	Bat		2875	mV	Tb		16.8	C	70394	Pa	Ti		15.97	C	Hi		29.57	C	To		10.31	C	Ho		13.36	C	3060	073634h	50197939N	19801232E	3131m	10274ft	Sat		14	Bat		2875	mV	Tb		16.8	C	70394	Pa	Ti		15.97	C	Hi		29.57	C	To		10.31	C	Ho		13.36	C	3060	073634h	50197939N	19801232E	3131m	10274ft	Sat		14	Bat		2875	mV	Tb		16.8	C	70394	Pa	Ti		15.97	C	Hi		29.57	C	To		10.31	C	Ho		13.36	C	3060	073634h	50197939N	19801232E	3131m	10274ft	Sat		14	Bat		2875	mV	Tb		16.8	C	70394	Pa	Ti		15.97	C	Hi		29.57	C	To		10.31	C	Ho		13.36	C	3060	073634h	50197939N	19801232E	3131m	10274ft	Sat		14	Bat		2875	mV	Tb		16.8	C	70394
3061	073635h	50197934N	0	0	0	19801166E	0	0	0	3138m	3138	10295ft	14	2878	mV	16.8	C	70345	Pa	15.96	C	29.56	%	10.46	C	13.28	%																																																																	10.46	C	Ho		13.28	C	3061	073635h	50197934N	19801166E	3138m	10295ft	Sat		14	Bat		2878	mV	Tb		16.8	C	70345	Pa	Ti		15.96	C	Hi		29.56	C	To		10.46	C	Ho		13.28	C	3061	073635h	50197934N	19801166E	3138m	10295ft	Sat		14	Bat		2878	mV	Tb		16.8	C	70345	Pa	Ti		15.96	C	Hi		29.56	C	To		10.46	C	Ho		13.28	C	3061	073635h	50197934N	19801166E	3138m	10295ft	Sat		14	Bat		2878	mV	Tb		16.8	C	70345	Pa	Ti		15.96	C	Hi		29.56	C	To		10.46	C	Ho		13.28	C	3061	073635h	50197934N	19801166E	3138m	10295ft	Sat		14	Bat		2878	mV	Tb		16.8	C	70345	Pa	Ti		15.96	C	Hi		29.56	C	To		10.46	C	Ho		13.28	C	3061	073635h	50197934N	19801166E	3138m	10295ft	Sat		14	Bat		2878	mV	Tb		16.8	C	70345
3062	073636h	50197923N	0	0	0	19801127E	0	0	0	3145m	3145	10318ft	14	2878	mV	16.78	C	70284	Pa	15.94	C	29.51	%	10.42	C	13.3	%																																																																	10.42	C	Ho		13.3	C	3062	073636h	50197923N	19801127E	3145m	10318ft	Sat		14	Bat		2878	mV	Tb		16.78	C	70284	Pa	Ti		15.94	C	Hi		29.51	C	To		10.42	C	Ho		13.3	C	3062	073636h	50197923N	19801127E	3145m	10318ft	Sat		14	Bat		2878	mV	Tb		16.78	C	70284	Pa	Ti		15.94	C	Hi		29.51	C	To		10.42	C	Ho		13.3	C	3062	073636h	50197923N	19801127E	3145m	10318ft	Sat		14	Bat		2878	mV	Tb		16.78	C	70284	Pa	Ti		15.94	C	Hi		29.51	C	To		10.42	C	Ho		13.3	C	3062	073636h	50197923N	19801127E	3145m	10318ft	Sat		14	Bat		2878	mV	Tb		16.78	C	70284	Pa	Ti		15.94	C	Hi		29.51	C	To		10.42	C	Ho		13.3	C	3062	073636h	50197923N	19801127E	3145m	10318ft	Sat		14	Bat		2878	mV	Tb		16.78	C	70284
3063	073637h	50197918N	0	0	0	19801121E	0	0	0	3151m	3151	10339ft	14	2876	mV	16.79	C	70226	Pa	15.97	C	29.53	%	10.26	C	13.35	%																																																																	10.26	C	Ho		13.35	C	3063	073637h	50197918N	19801121E	3151m	10339ft	Sat		14	Bat		2876	mV	Tb		16.79	C	70226	Pa	Ti		15.97	C	Hi		29.53	C	To		10.26	C	Ho		13.35	C	3063	073637h	50197918N	19801121E	3151m	10339ft	Sat		14	Bat		2876	mV	Tb		16.79	C	70226	Pa	Ti		15.97	C	Hi		29.53	C	To		10.26	C	Ho		13.35	C	3063	073637h	50197918N	19801121E	3151m	10339ft	Sat		14	Bat		2876	mV	Tb		16.79	C	70226	Pa	Ti		15.97	C	Hi		29.53	C	To		10.26	C	Ho		13.35	C	3063	073637h	50197918N	19801121E	3151m	10339ft	Sat		14	Bat		2876	mV	Tb		16.79	C	70226	Pa	Ti		15.97	C	Hi		29.53	C	To		10.26	C	Ho		13.35	C	3063	073637h	50197918N	19801121E	3151m	10339ft	Sat		14	Bat		2876	mV	Tb		16.79	C	70226
3064	073638h	50197921N	0	0	0	19801131E	0	0	0	3156m	3156	10356ft	14	2876	mV	16.79	C	70189	Pa	15.93	C	29.4	%	10.11	C	13.31	%																																																																	10.11	C	Ho		13.31	C	3064	073638h	50197921N	19801131E	3156m	10356ft	Sat		14	Bat		2876	mV	Tb		16.79	C	70189	Pa	Ti		15.93	C	Hi		29.4	C	To		10.11	C	Ho		13.31	C	3064	073638h	50197921N	19801131E	3156m	10356ft	Sat		14	Bat		2876	mV	Tb		16.79	C	70189	Pa	Ti		15.93	C	Hi		29.4	C	To		10.11	C	Ho		13.31	C	3064	073638h	50197921N	19801131E	3156m	10356ft	Sat		14	Bat		2876	mV	Tb		16.79	C	70189	Pa	Ti		15.93	C	Hi		29.4	C	To		10.11	C	Ho		13.31	C	3064	073638h	50197921N	19801131E	3156m	10356ft	Sat		14	Bat		2876	mV	Tb		16.79	C	70189	Pa	Ti		15.93	C	Hi		29.4	C	To		10.11	C	Ho		13.31	C	3064	073638h	50197921N	19801131E	3156m	10356ft	Sat		14	Bat		2876	mV	Tb		16.79	C	70189
3065	073639h	50197929N	0	0	0	19801135E	0	0	0	3162m	3162	10374ft	14	2878	mV	16.79	C	70156	Pa	15.93	C	29.3	%	10.28	C	13.3	%																																																																	10.28	C	Ho		13.3	C	3065	073639h	50197929N	19801135E	3162m	10374ft	Sat		14	Bat		2878	mV	Tb		16.79	C	70156	Pa	Ti		15.93	C	Hi		29.3	C	To		10.28	C	Ho		13.3	C	3065	073639h	50197929N	19801135E	3162m	10374ft	Sat		14	Bat		2878	mV	Tb		16.79	C	70156	Pa	Ti		15.93	C	Hi		29.3	C	To		10.28	C	Ho		13.3	C	3065	073639h	50197929N	19801135E	3162m	10374ft	Sat		14	Bat		2878	mV	Tb		16.79	C	70156	Pa	Ti		15.93	C	Hi		29.3	C	To		10.28	C	Ho		13.3	C	3065	073639h	50197929N	19801135E	3162m	10374ft	Sat		14	Bat		2878	mV	Tb		16.79	C	70156	Pa	Ti		15.93	C	Hi		29.3	C	To		10.28	C	Ho		13.3	C	3065	073639h	50197929N	19801135E	3162m	10374ft	Sat		14	Bat		2878	mV	Tb		16.79	C	70156
3066	073640h	50197945N	0	0	0	19801127E	0	0	0	3167m	3167	10392ft	14	2876	mV	16.78	C	70104	Pa	15.90	C	29.27	%	10.35	C	13.32	%																																																																	10.35	C	Ho		13.32	C	3066	073640h	50197945N	19801127E	3167m	10392ft	Sat		14	Bat		2876	mV	Tb		16.78	C	70104	Pa	Ti		15.90	C	Hi		29.27	C	To		10.35	C	Ho		13.32	C	3066	073640h	50197945N	19801127E	3167m	10392ft	Sat		14	Bat		2876	mV	Tb		16.78	C	70104	Pa	Ti		15.90	C	Hi		29.27	C	To		10.35	C	Ho		13.32	C	3066	073640h	50197945N	19801127E	3167m	10392ft	Sat		14	Bat		2876	mV	Tb		16.78	C	70104	Pa	Ti		15.90	C	Hi		29.27	C	To		10.35	C	Ho		13.32	C	3066	073640h	50197945N	19801127E	3167m	10392ft	Sat		14	Bat		2876	mV	Tb		16.78	C	70104	Pa	Ti		15.90	C	Hi		29.27	C	To		10.35	C	Ho		13.32	C	3066	073640h	50197945N	19801127E	3167m	10392ft	Sat		14	Bat		2876	mV	Tb		16.78	C	70104
3067	073641h	50197975N	0	0	0	19801119E	0	0	0	3173m	3173	10411ft	14	2879	mV	16.78	C	70035	Pa	15.92	C	29.3	%	10.37	C	13.35	%																																																																	10.37	C	Ho		13.35	C	3067	073641h	50197975N	19801119E	3173m	10411ft	Sat		14	Bat		2879	mV	Tb		16.78	C	70035	Pa	Ti		15.92	C	Hi		29.3	C	To		10.37	C	Ho		13.35	C	3067	073641h	50197975N	19801119E	3173m	10411ft	Sat		14	Bat		2879	mV	Tb		16.78	C	70035	Pa	Ti		15.92	C	Hi		29.3	C	To		10.37	C	Ho		13.35	C	3067	073641h	50197975N	19801119E	3173m	10411ft	Sat		14	Bat		2879	mV	Tb		16.78	C	70035	Pa	Ti		15.92	C	Hi		29.3	C	To		10.37	C	Ho		13.35	C	3067	073641h	50197975N	19801119E	3173m	10411ft	Sat		14	Bat		2879	mV	Tb		16.78	C	70035	Pa	Ti		15.92	C	Hi		29.3	C	To		10.37	C	Ho		13.35	C	3067	073641h	50197975N	19801119E	3173m	10411ft	Sat		14	Bat		2879	mV	Tb		16.78	C	70035
