Frame	Time	lat			lat_f	lon			lon_f	Alt_m	Alt_m	Alt_ft	Sat	Bat		Tb		Pressure		Ti		Hi	%	To		Ho	%																																																																																																																																																																																																																																				
28	064023h	50189414N	0	0	0	19806639E	0	0	0	445m	445	1462ft	4	2988	mV	15.43	C	97505	Pa	14.52	C	57.81	%	12.89	C	64.76	%																																																																																																																																																																																																																																				
29	064024h	50189417N	0	0	0	19806653E	0	0	0	445m	445	1461ft	4	2988	mV	15.44	C	97504	Pa	14.54	C	57.77	%	12.89	C	64.57	%																																																																																																																																																																																																																																				
30	064026h	50189418N	0	0	0	19806665E	0	0	0	448m	448	1471ft	4	3000	mV	15.44	C	97505	Pa	14.54	C	57.8	%	12.91	C	64.4	%																																																																																																																																																																																																																																				
31	064027h	50189415N	0	0	0	19806670E	0	0	0	449m	449	1473ft	4	2988	mV	15.46	C	97505	Pa	14.56	C	57.79	%	12.92	C	63.82	%																																																																																																																																																																																																																																				
32	064028h	50189411N	0	0	0	19806670E	0	0	0	449m	449	1474ft	4	2989	mV	15.46	C	97509	Pa	14.54	C	57.79	%	12.91	C	63.61	%																																																																																																																																																																																																																																				
33	064029h	50189405N	0	0	0	19806668E	0	0	0	449m	449	1476ft	4	2994	mV	15.46	C	97512	Pa	14.56	C	57.78	%	12.95	C	63.46	%																																																																																																																																																																																																																																				
34	064030h	50189402N	0	0	0	19806671E	0	0	0	450m	450	1477ft	4	2994	mV	15.47	C	97510	Pa	14.55	C	57.75	%	12.96	C	63.52	%																																																																																																																																																																																																																																				
35	064031h	50189393N	0	0	0	19806662E	0	0	0	456m	456	1497ft	4	2992	mV	15.48	C	97512	Pa	14.58	C	57.75	%	12.95	C	63.6	%																																																																																																																																																																																																																																				
36	064032h	50189396N	0	0	0	19806657E	0	0	0	457m	457	1500ft	4	2986	mV	15.47	C	97511	Pa	14.59	C	57.79	%	12.95	C	63.56	%																																																																																																																																																																																																																																				
37	064033h	50189415N	0	0	0	19806634E	0	0	0	462m	462	1516ft	4	2986	mV	15.48	C	97506	Pa	14.58	C	57.7	%	12.96	C	63.48	%																																																																																																																																																																																																																																				
