"time";"Frame";"Time";"lat_f";"lon_f";"Alt_m";"Alt_ft";"Sat";"Bat";"Tb";"Pressure";"Ti";"Hi";"To";"Ho"
2024-10-20 06:36:33;1;"063633h";"50.189424N";"19.806631E";"459";"1508ft";4;3152;14,3;95193;"13.17";62,42;"12.71";63,67
2024-10-21 06:37:26;2;"063726h";"50.189469N";"19.806610E";"444";"1459ft";4;3113;14,64;97410;"13.75";60,54;"12.67";62,45
